group	tcpID & section_idx
ground	A67805 4 | 25016
ground	A65709 1
ground	A65709 4
ground	A65709 7
ground	A65709 7 | 25070
ground	A65709 7 | 25118
ground	A65709 8
ground	A65709 9
ground	A65709 10
ground	A65709 11
ground	A65709 12
ground	A65709 13
ground	A65709 13 | 25264
ground	A65709 13 | 25312
ground	A65709 14
ground	A65709 14 | 25366
ground	A65709 14 | 25405
ground	A65709 15
ground	A65709 16
ground	A65709 16 | 25506
ground	A65709 16 | 25538
ground	A65709 16 | 25593
ground	A65709 17
ground	A65709 18
ground	A65709 19
ground	A64822 2
ground	A64822 4
ground	A64822 5
ground	A64822 6
ground	A64822 7
ground	A64956 1
ground	A64956 7
ground	A64956 7 | 26000
ground	A64956 7 | 26022
ground	A64956 7 | 26050
ground	A64956 7 | 26085
ground	A64956 7 | 26122
ground	A64956 7 | 26149
ground	A64956 7 | 26174
ground	A64956 7 | 26207
ground	A64956 7 | 26250
ground	A64956 7 | 26289
ground	A64956 7 | 26327
ground	A64956 7 | 26358
ground	A64956 7 | 26385
ground	A64956 7 | 26407
ground	A64956 7 | 26442
ground	A64956 7 | 26463
ground	A64956 7 | 26489
ground	A64956 8
ground	A64956 11
ground	A64956 12
ground	A64956 12 | 26571
ground	A64956 12 | 26601
ground	A64956 13
ground	A64956 13 | 26660
ground	A64956 14
ground	A62378 1
ground	A62378 2
ground	A62378 3
ground	A62378 6
ground	A62378 7
ground	A62378 7 | 26871
ground	A62378 8
ground	A62378 9
ground	A62378 10
ground	A62378 10 | 27059
ground	A62378 10 | 27103
ground	A62378 10 | 27132
ground	A62378 11
ground	A62378 12
ground	A62378 13
ground	A62378 14
ground	A62378 15
ground	A62378 16
ground	A62378 17
ground	A62378 18
ground	A62378 19
ground	A62378 19 | 27411
ground	A62378 20
ground	A62014 2
ground	A62014 2 | 27513
ground	A62014 2 | 27552
ground	A62014 2 | 27600
ground	A62014 2 | 27659
ground	A46809 1
ground	A46809 4
ground	A46809 5
ground	A46809 6
ground	A46809 6 | 27866
ground	A46809 6 | 27914
ground	A46809 6 | 27952
ground	A46809 7
ground	A46809 7 | 28035
ground	A46809 7 | 28051
ground	A46809 7 | 28080
ground	A46809 7 | 28113
ground	A46809 7 | 28179
ground	A46809 7 | 28230
ground	A46809 8
ground	A46809 9
ground	A46809 14
ground	A41775 2
ground	A41775 6
ground	A41775 7
ground	A41775 10
ground	A41775 11
ground	A41775 11 | 28412
ground	A41775 11 | 28438
ground	A41775 12
ground	A41775 12 | 28485
ground	A41775 12 | 28520
ground	A41775 12 | 28553
ground	A41775 12 | 28591
ground	A41775 12 | 28615
ground	A41775 12 | 28647
ground	A41775 12 | 28670
ground	A41775 12 | 28692
ground	A41775 12 | 28721
ground	A41775 12 | 28747
ground	A41775 12 | 28767
ground	A41775 12 | 28785
ground	A41775 12 | 28813
ground	A41775 12 | 28844
ground	A41775 12 | 28882
ground	A41775 12 | 28909
ground	A41775 12 | 28940
ground	A41775 12 | 28963
ground	A41775 12 | 29028
ground	A41775 12 | 29105
ground	A41775 12 | 29140
ground	A41775 12 | 29164
ground	A41775 12 | 29199
ground	A41775 12 | 29220
ground	A41775 12 | 29250
ground	A41775 12 | 29274
ground	A41775 12 | 29300
ground	A41775 12 | 29335
ground	A41775 12 | 29356
ground	A41775 12 | 29391
ground	A41775 12 | 29445
ground	A41775 12 | 29473
