subject_heading,frequency
"Gataker, Thomas, 1574-1654 --  Early works to 1800.",1
"Carpenter, Richard, d. 1670? --  Early works to 1800.",1
"Gauden, John, 1605-1662. --  Analysis --  Early works to 1800.",1
"Crofton, Zachary, 1625 or 6-1672. --  Analēpsis.",1
Sin --  Biblical teaching --  Early works to 1800.,1
Power (Christian theology) --  Early works to 1800.,1
"Eaton, Samuel, 1596?-1665. --  Oath of allegiance and the national Covenant proved to be non-obliging.",1
Loyalty oaths --  Great Britain --  17th century.,1
Eglises réformées de France --  Doctrines --  Early works to 1800.,1
"Poyntz, Sydenham --  Early works to 1800.",1
Education --  England --  17th century --  Early works to 1800.,1
Relics --  England --  Early works to 1800.,1
Reconciliation --  Religious aspects --  Christianity --  Early works to 1800.,1
"Jessey, Henry, 1603-1663. --  Lords loud call to England.",1
Rickets --  Early works to 1800.,1
Actions and defenses --  England --  Early works to 1800.,1
Civil procedure --  England --  Early works to 1800.,1
"Sweden --  History --  Charles X Gustavus, 1654-1660 --  Early works to 1800.",1
Lord's Prayer --  Commentaries --  Early works to 1800.,1
"Bible. --  O.T. --  Isaiah XXVI, 20-21 --  Sermons.",1
Deution of persons --  England --  Early works to 1800.,1
Law --  Great Britain --  Sources --  Early works to 1800.,1
Public worship --  Great Britain --  Early works to 1800.,1
Catarrh --  Early works to 1800.,1
"Elmeston, John.",1
"Ferne, H. --  (Henry), 1602-1662. --  Resolving of conscience, upon this question.",1
Repentence --  Early works to 1800.,1
"Fuller, Thomas, 1608-1661. --  Appeal of injured innocence, unto the religious learned and ingenuous reader --  Early works to 1800.",1
"Hickman, Henry, d. 1692. --  Patro-scholastiko-dikaiōsis --  Early works to 1800.",1
"Heylyn, Peter, 1600-1662. --  Respondet Petrus --  Early works to 1800.",1
"Harrington, James, 1611-1677. --  Stumbling-block of disobedience & rebellion cunningly imputed by P.H. unto Calvin, removed in a letter to the said P.H. from J.H. --  Early works to 1800.",1
"Baxter, Richard, 1615-1691. --  Grotian religion discovered --  Early works to 1800.",1
"Bernard, Nicholas, d. 1661. --  Life & death of the most reverend and learned father of our Church Dr. James Usher --  Early works to 1800.",1
"L'Estrange, Hamon, 1605-1660. --  Observator observ'd --  Early works to 1800.",1
Sower (Parable) --  Early works to 1800.,1
"Ussher, James, 1581-1656. --  Judgement of the late Arch-Bishop of Armagh and Primate of Ireland --  Controversial literature --  Early works to 1800.",1
"Bernard, Nicholas, d. 1661.",1
"Bible. --  O.T. --  Hosea V, 15 --  Sermons.",1
"Lancashire Plot, 1689-1694 --  Early works to 1800.",1
"Rainborow, Thomas, d. 1648.",1
"Sévigné, Marie de Rabutin-Chantal, --  marquise de, 1626-1696.",1
Execution and executioners --  Early works to 1800.,1
Political science --  Philosophy --  Early works to 1800.,1
Natural law --  Early works to 1800.,1
"Penington, John, --  Sir, 1568?-1646.",1
Ireland --  History --  Rebellion of 1641 --  Naval operations --  Early works to 1800.,1
"Skinner, Thomas --  East India merchant --  Early works to 1800.",1
England and Wales. --  Parliament. --  House of Lords --  Jurisdiction --  Early works to 1800.,1
"Stewart, James, --  Sir, 1635-1713. --  Naphtali.",1
"Tombes, John, 1603?-1676. --  Antipaedobaptism.",1
"Kendall, George, 1610-1663. --  Sancti sanciti.",1
Funeral sermons --  England --  17th century.,1
"Owen, John, 1616-1683. --  Salus electorum, sanguis Jesu, or, The death of death in the death of Christ.",1
Horsemanship --  England --  Early works to 1800.,1
Forgivenss of sin --  Early works to 1800.,1
"Bible. --  N.T. --  Acts XIII, 2-3 --  Sermons.",1
"Abell, William, fl. 1640.",1
Trials (Political crimes and offenses) --  Great Britain --  Early works to 1800.,1
"Goodwin, John, 1594?-1665. --  Pagans debt and dowry.",1
England --  Military relations --  Scotland --  Early works to 1800.,1
Scotland --  Military relations --  England --  Early works to 1800.,1
Monarchy --  England --  Early works to 1800.,1
"Buti, Francesco, d. 1682. --  Nozze di Peleo e di Theti.",1
"Gabrielli, Diamante. --  Tedide.",1
"Ball, Thomas, 1589 or 90-1659.",1
"Great Britain --  History --  Puritan Revolution, 1649-1660 --  Sources.",1
England and Wales. --  Parliament --  Dissolution --  Early works to 1800.,1
Mathematical recreations --  Early works to 1800.,1
"Homes, Nathanael, 1599-1678 --  Early works to 1800.",1
"Hammond, Henry, 1605-1660. --  Dispatcher dispatched.",1
"White, Thomas, 1593-1676 --  Early works to 1800.",1
"Owen, John, 1616-1683. --  Doctrine of the saints perseverance, explained and confirmed --  Early works to 1800.",1
"Ignatius, --  Saint, Bishop of Antioch, d. ca. 110. --  Correspondence --  Early works to 1800.",1
"Charles --  I, --  King of England, 1600-1649 --  Sermons --  Early works to 1800.",1
"Bible. --  O.T. --  Chronicles, 2nd, XXXV, 24-25 --  Sermons --  Early works to 1800.",1
"Greenland, George.",1
"Bible. --  O.T. --  Psalms CXVI, 9 --  Sermons.",1
"Civilization, Anglo-Saxon --  Early works to 1800.",1
Lichfield (England) --  History --  17th century --  Early works to 1800.,1
"Rich, Nathaniel, d. 1701.",1
"Stubbe, Henry, 1632-1676. --  Common-wealth of Oceana put into the ballance, and found too light.",1
Republicanism --  Early works to 1800.,1
"Wren, M. --  (Matthew), 1629-1672. --  Monarchy asserted --  Early works to 1800.",1
"Harrington, James, 1611-1677. --  Commonwealth of Oceana --  Early works to 1800.",1
"Harrington, James, 1611-1677. --  Common-wealth of Oceana --  Early works to 1800.",1
"Hammond, Henry, 1605-1660 --  Early works to 1800.",1
"Seaman, Lazarus, d. 1675 --  Early works to 1800.",1
"Masterson, Geo. --  (George). --  Triumph stain'd --  Early works to 1800.",1
"Lucy, Thomas, --  Sir --  1585-1640.",1
"Bible. --  O.T. --  Samuel, 2nd, III, 38-39 --  Sermons --  Early works to 1800.",1
"Bible. --  N.T. --  Luke XVIII, 6-8 --  Sermons --  Early works to 1800.",1
Jesus Christ --  Divininty --  Early works to 1800.,1
Religion and politics --  Early works to 1800.,1
"Business --  Handbooks, manuals, etc.",1
Food supply --  England --  Early works to 1800.,1
Charities --  England --  London --  Early works to 1800.,1
N. E. --  Confident questionist questioned.,1
"Willis, Thomas, 1619 or 20-1692.",1
Westminster Assembly (1643-1652) --  Fiction --  Early works to 1800.,1
"Bewley, Mary, d. 1653 --  Early works to 1800.",1
Women --  Religious life --  Early works to 1800.,1
"James --  I, --  King of England, 1566-1625 --  Quotations --  Early works to 1800.",1
Jews --  Conversion to Christianity --  Early works to 1800.,1
"Hammond, Henry, 1605-1660. --  Euschēmonōs kai kata taxin --  Controversial literature --  Early works to 1800.",1
Constitutional law --  Great Britain --  Early works to 1800.,1
"Goodwin, John, 1594?-1665. --  Sion-Colledg visited --  Early works to 1800.",1
"Gouge, William, 1578-1653.",1
"Bible. --  O.T. --  Job V, 26 --  Sermons.",1
Judges --  Great Britain --  Early works to 1800.,1
In Georgium Keithum Caledonium apostatam epigramma. --  Latin --  Early works to 1800.,1
"Bible. --  N.T. --  Corinthians, 1st XVI, 13-14 --  Sermons.",1
Military discipline --  Sermons --  Early works to 1800.,1
"Tullie, Timothy, 1612 or 13-1700 --  Early works to 1800.",1
"Charles --  II, --  King of England, 1630-1685 --  Death and burial.",1
"Titus, Silius, 1623?-1704. --  Killing no murder --  Controversial literature --  Early works to 1800.",1
"Sexby, Edward, d. 1658 --  Controversial literature --  Early works to 1800.",1
Vintners --  England --  Early works to 1800.,1
Spain --  Politics and government --  1621-1665 --  Early works to 1800.,1
"Cope, John, d. 1660 --  Early works to 1800.",1
Courts of special jurisdiction --  England --  Early works to 1800.,1
Pleading --  England --  Early works to 1800.,1
Real property --  England --  Early works to 1800.,1
"Dethick, John, d. 1657.",1
"Crocker, Thomas --  Early works to 1800.",1
Business ethics --  England --  Early works to 1800.,1
Levellers --  Sermons --  Early works to 1800.,1
"Church of England --  Relations --  Anabaptists, (17th century) --  Early works to 1800.",1
Anabaptists --  England --  17th century --  Early works to 1800.,1
"Leighton, Alexander, 1568-1649. --  Appeal to the parliament.",1
"Heylyn, Peter, 1600-1662. --  Observations on the historie of  the reign of King Charles.",1
N. D. --  Letter intercepted printed for the use and benefit of the ingenuous reader.,1
"Chanet, Pierre. --  De l'instinct et de la connoissance des animaux --  Early works to 1800.",1
England and Wales. --  Council of State --  Early works to 1800.,1
Scotland. --  Act for a company trading to Africa and the Indies --  Early works to 1800.,1
Trading companies --  Scotland --  Early works to 1800.,1
Trading companies --  England --  Early works to 1800.,1
"Cromwell, Richard, 1626-1712 --  Early works to 1800.",1
"Fidge, George. --  Great eater of Grayes-Inne, or The life of Mr. Marriot the cormorant.",1
"Marriott, John, d. 1653.",1
"Chaloner, Thomas, 1595-1661 --  Early works to 1800.",1
"Bryan, Nathaniel, 1628 or 9-1657.",1
"Bryan, John, d. 1676. --  Publick disputation sundry dayes at Killingworth --  Controversial literature --  Early works to 1800.",1
"Onley, John --  Early works to 1800.",1
"Pendarves, John, 1622-1656. --  Arrowes against Babylon --  Early works to 1800.",1
"Hamilton, William Hamilton, --  Duke of, 1616-1651 --  Early works to 1800.",1
"Nedham, Marchamont, 1620-1678. --  Manifold practises and attempts of the Hamiltons, and particularly the present Duke of Hamilton now generall of the Scottish Army to get the crown of Scotland.",1
Incest --  Ireland --  Early works to 1800.,1
Homosexuality --  Ireland --  Early works to 1800.,1
"Richard, --  King of England, 1367-1400.",1
"Bible. --  N.T. --  Revelation XX, 1-2 --  Sermons.",1
"Bible. --  O.T. --  Psalms IV, 4 --  Sermons.",1
Spies --  England --  Early works to 1800.,1
Lunar eclipses --  1652 --  Early works to 1800.,1
Sum --  Early works to 1800.,1
"Heming, Joseph. --  Certain quæries touching the rise and observation of Christmas.",1
"Bedford, William Russell, --  Duke of, 1613-1700 --  Early works to 1800.",1
"Newcastle upon Tyne (England) --  History --  Siege, 1644 --  Early works to 1800.",1
"Bible. --  O.T. --  Chronicles, 2nd XIX, 6 --  Sermons.",1
"Bible. --  O.T. --  Samuel, 2nd III, 38-39 --  Sermons.",1
"Great Britain --  History --  Civil War, 1642-1649 --  Personal narratives --  Early works to 1800.",1
"Dick, William, 1579 or 80-1655 --  Early works to 1800.",1
Debt --  Scotland --  Early works to 1800.,1
Estates (Law) --  Scotland --  Cases --  Early works to 1800.,1
"Blake, Robert, 1599-1657 --  Early works to 1800.",1
"Great Britain --  History, Naval --  17th century --  Early works to 1800.",1
Consecration of bishops --  Early works to 1800.,1
"Desborough, John, 1608-1680 --  Early works to 1800.",1
Printing industry --  England --  Early works to 1800.,1
"Finance, Public --  England --  London --  Early works to 1800.",1
Taxation --  England --  London --  Early works to 1800.,1
"Sublime, The --  Early works to 1800.",1
"Style, Literary --  Early works to 1800.",1
"Rhetoric, Ancient --  Early works to 1800.",1
"Price, John, --  Citizen of London. --  Clerico-classicum.",1
"Bible. --  O.T. --  Isaiah XXI, 12 --  Sermons --  Early works to 1800.",1
"Lucretius Carus, Titus. --  De rerum natura --  Early works to 1800.",1
Great Britain --  Foreign relations --  1649-1660 --  Sources.,1
"Great Britain --  History, Naval --  Stuarts, 1603-1714 --  Sources.",1
"Names, Personal --  Early works to 1800.",1
"Floyd, John, 1572-1649. --  A paire of spectacles for Sir Humfrey Linde to see his way withall --  Early works to 1800.",1
"Jenison, Robert, 1584?-1652 --  Early works to 1800.",1
"Delaune, Gideon, 1565?-1659 --  Early works to 1800.",1
"Clochester (England) --  History --  Siege, 1648 --  Early works to 1800.",1
"Cookery, French --  Early works to 1800.",1
Bible. --  O.T. --  II Samuel --  Sermons --  Early works to 1800.,1
Bible. --  O.T. --  II Kings --  Sermons --  Early works to 1800.,1
"Birchley, William, 1613-1669. --  Christian moderator.",1
"Moore, John, 1595?-1657. --  Crying sin of England, of not caring for the poor --  Early works to 1800.",1
Judges --  England --  Early works to 1800.,1
Conduct of court proceedings --  England --  Corrupt practices --  Early works to 1800.,1
"Peters, Hugh, 1598-1660. --  Good work for a good magistrate --  Early works to 1800.",1
"Prynne, William, 1600-1669. --  Short demurrer to the Jewes long discontinued remitter into England --  Early works to 1800.",1
Jews --  England --  Early works to 1800.,1
"Names, Geographical --  England --  Early works to 1800.",1
"Wildman, John, --  Sir, 1621?-1693. --  Truths triumph --  Early works to 1800.",1
"Audley, Thomas.",1
"Neville, Henry, 1620-1694. --  Parliament of ladies --  Early works to 1800.",1
Gratitude --  Early works to 1800.,1
Obedience --  Early works to 1800.,1
"Maule, Thomas, 1645-1724. --  Truth held forth and maintained --  Early works to 1800.",1
Society of Friends --  Doctrinal and controversial works --  Early works to 1800.,1
Indian captivities --  Early works to 1800.,1
"United States --  History --  King William's War, 1689-1697 --  Early works to 1800.",1
Noah's ark.,1
Church.,1
Reclamation of land --  Law and legislation --  England.,1
Drainage --  England --  History --  Sources.,1
"Christian life --  Quotations, maxims, etc. --  Early works to 1800.",1
English newspapers --  England --  London --  17th century --  Early works to 1800.,1
"Great Britain --  History --  Civil War, 1642-1649 --  Newspapers --  Early works to 1800.",1
"Louis --  XIV, --  King of France, 1638-1715 --  Prophecies.",1
"Leopold --  I, --  Holy Roman Emperor, 1640-1705 --  Prophecies.",1
"Mehmed --  IV, --  Sultan of the Turks, 1642-1693 --  Prophecies.",1
"Muḥammad, --  Prophet, d. 632.",1
Hernia --  Early works to 1800.,1
"Answer to a book, intituled, The doctrine and discipline of divorce.",1
Divorce --  England --  Early works to 1800.,1
Moderation --  Religious aspects --  Christianity --  Early works to 1800.,1
Nutrition --  England --  Early works to 1800.,1
"Edwards, Thomas, 1599-1647. --  Gangræna --  Early works to 1800.",1
"Preaching --  legal status, laws, etc. --  Early works to 1800",1
Great Britain --  Politics and government --  1642-1660 --  Early works to 1800.,1
Bible. --  O.T. --  Genesis I-III --  Commentaries --  Early works to 1800.,1
Dispensatories --  Great Britain --  Early works to 1800.,1
"Booker, John, 1603-1667 --  Early works to 1800.",1
Anarchism --  England --  Early works to 1800.,1
"Saunders, Humphrey. --  Anti-diatribe --  Early works to 1800.",1
"Goodwin, John, 1594?-1665. --  Hagiomastix --  Early works to 1800.",1
"Virginia --  Politics and government --  Colonial period, ca. 1600-1775 --  Early works to 1800.",1
Materia medica --  Great Britain --  Early works to 1800.,1
"Musaeus, --  Grammaticus. --  Hero and Leander --  Criticism and interpretation --  Early works to 1800.",1
"Hesilrige, Arthur, --  Sir, d. 1661.",1
England and Wales. --  Parliament --  Controversial literature --  Early works to 1800.,1
Exiles --  Early works to 1800.,1
"Bible. --  O.T. --  Job --  Paraphrases, English --  Early works to 1800.",1
"Charles --  I, --  King of England, 1600-1649 --  Coronation --  Early works to 1800.",1
"Bible. --  O.T. --  Zechariah XIV, 9 --  Sermons.",1
"Great Britain --  History --  Civil War, 1642-1649 --  Treaties --  Early works to 1800.",1
Third Order Regular of St. Francis --  Rules.,1
Monasticism and religious orders for women --  Rules.,1
Apologetics --  17th century.,1
"Erbery, William, 1604-1654. --  Grand oppressor, or the terror of tithes --  Early works to 1800.",1
"Erbery, William, 1604-1654. --  Sword doubled to cut off both the righteous and the wicked --  Early works to 1800.",1
"Admonitory letter written by an old minister of the new Congregational Church, and sent to divers ejected ministers of those parts in which he lives.",1
"Church discipline --  History --  Early church, ca. 30-600 --  Early works to 1800.",1
"Pynchon, William, 1590-1662. --  Meritorious price of our redemption, justification, &c. --  Early works to 1800.",1
"Cotton, John, 1584-1652 --  Early works to 1800.",1
Quakers --  New England.,1
Evangelicalism --  England --  Early works to 1800.,1
"Bakewell, Thomas, b. 1618 or 19. --  Confutation of the Anabaptists with a nut-cracker. --  Early works to 1800.",1
Infant baptism. --  Early works to 1800.,1
Anabaptists --  Apologetic works --  Early works to 1800.,1
"Charles --  V, --  Duke of Lorraine, 1643-1690 --  Early works to 1800.",1
"Ives, Jeremiah, fl. 1563-1674. --  Quakers quaking, or, The foundation of their deceipt shaken, both in their quakings, doctrines, ministerie, and lives",1
Quakers --  Apologetic works.,1
"England and Wales. --  Army. --  Council. --  Remonstrance of His Excellency Thomas Lord Fairfax, Lord General of the Parliaments forces. And of the generall councell of officers held at St Albans the 16. of November, 1648 --  Early works to 1800.",1
"Neville, Francis de.",1
"Saving and thrift --  Quotations, maxims, etc.",1
"Noman, --  Dr.",1
"Stationers' Company (London, England)",1
Municipal charters --  England --  London --  Early works to 1800.,1
"London (England) --  Charters, grants, privileges --  Early works to 1800.",1
"Bible. --  N.T. --  Hebrews IV, 13 --  Sermons.",1
Religious tolerance --  Early works to 1800.,1
"Charles --  II, --  King of England, 1630-1685 --  Portraits --  Early works to 1800.",1
"Bagshaw, Edward, 1629-1671 --  Early works to 1800.",1
"Burges, Cornelius, 1589?-1665. --  Case concerning the buying of bishops lands.",1
"Prynne, William, 1600-1669",1
Tithes --  Controversial literature --  Early works to 1800.,1
England and Wales. --  Exchequer --  Early works to 1800.,1
Catholic Church --  Scotland --  Early works to 1800.,1
Netherlands --  Politics and government --  1556-1648 --  Early works to 1800.,1
"France --  Politics and government --  Henry IV, 1589-1610 --  Early works to 1800.",1
Levellers.,1
"Bible. --  O.T. --  Habakkuk III, 1-10 --  Sermons --  Early works to 1800.",1
"Colchester (England) --  History --  Siege, 1648 --  Sermons --  Early works to 1800.",1
"Bible --  Evidences, authority, &c. --  Early works to 1800.",1
Bible --  Inspiration --  Early works to 1800.,1
"Owen, John, 1616-1683. --  Of schisme --  Early works to 1800.",1
"Cawdrey, Daniel, 1588-1664. --  Independencie a great schism --  Early works to 1800.",1
Congregationalism --  Apologetic works --  Early works to 1800.,1
Religious tolerance --  England --  Sermons --  Early works to 1800.,1
"Biddle, John, 1615-1662. --  Twofold catechism --  Early works to 1800.",1
"Grotius, Hugo, 1583-1645 --  Early works to 1800.",1
"Baxter, Richard, 1615-1691. --  Rich: Baxter's confession of his faith.",1
Racovian catechism --  Controversial literature --  Early works to 1800.,1
"Oxinden, Henry, 1609-1670.",1
"Freeborne, Dorothy, d. 1658.",1
"Marchand, Florent.",1
Impostors and imposture --  England --  Early works to 1800.,1
Impostors and imposture --  France --  Early works to 1800.,1
Bible. --  O.T. --  Psalms CVII --  Commentaries --  Early works to 1800.,1
Seafaring life --  Early works to 1800.,1
Ocean --  Early works to 1800.,1
Académie française --  History --  Early works to 1800.,1
"Carlingford, Theobald Taafe, --  Earl of, d. 1677 --  Early works to 1800.",1
Munster (Ireland) --  History --  Early works to 1800.,1
"Great Britain --  History --  Civil War, 1642-1649 --  Campaigns --  Ireland --  Early works to 1800.",1
Constables --  England --  Early works to 1800.,1
Great Britain --  Commerce --  17th century --  Early works to 1800.,1
Cornwall (England : County) --  History --  Early works to 1800.,1
"Caryl, Joseph, 1602-1673. --  Peters patern.",1
London (England) --  History --  17th Century --  Early works to 1800.,1
Anabaptists --  Netherlands --  Early works to 1800.,1
French literature --  Early works to 1800.,1
"Whitfield, Henry, 1597-1660? --  Early works to 1800.",1
"Barlee, William. --  Prædestination, as before privately, so now at last openly defended against post-destination.",1
"Barlee, William. --  Necessary vindication of the doctrine of predestination, formerly asserted.",1
"Bible. --  N.T. --  Luke XIX, 41-44 --  Sermons --  Early works to 1800.",1
Pimps --  Great Britain --  Early works to 1800.,1
"Wakefield (England) --  History, Military --  Early works to 1800.",1
"Lamb, Thomas, d. 1686 --  Early works to 1800.",1
Giants --  England --  Early works to 1800.,1
Natural history --  England --  Oxford.,1
Religion --  Controversial literature --  Early works to 1800.,1
Orphans --  England --  London --  Early works to 1800.,1
London (England) --  Social conditions --  17th century --  Early works to 1800.,1
"Howard, --  Cardinal.",1
"Crell, Johann, 1590-1633. --  Commentarius in Epistolam ad Hebraeos.",1
"Porter, Thomas, d. 1667 --  Early works to 1800.",1
"Haggar, Henry --  Early works to 1800.",1
"Finance, Public --  Great Britain --  Early works to 1800.",1
Fashion --  Early works to 1800.,1
Sudden death --  Early works to 1800.,1
"Bible. --  O.T. --  Ezra IX, 6-8 --  Sermons.",1
Presbyterianism --  Bibliography --  Catalogs --  Early works to 1800.,1
Rhetoric --  1500-1800.,1
"Keith, George, 1639?-1716. --  Fourth narrative of his proceedings at Turners-Hall.",1
Fourth narrative of his proceedings at Turners-Hall.,1
"Rogers, John, 1627-1665? --  Diapoliteia --  Controversial literature --  Early works to 1800.",1
"Nedham, Marchamont, 1620-1678. --  Interest will not lie --  Controversial literature --  Early works to 1800.",1
Bermuda Islands --  Religion --  Early works to 1800.,1
"Government, Resistance to --  Religious aspects --  Early works to 1800.",1
"Boyle, Robert, 1627-1691 --  Bibliography --  Early works to 1800.",1
"Benefices, Ecclesiastical --  Early works to 1800.",1
England and Wales. --  Early works to 1800.,1
Taxation --  Law and legislation --  England --  Early works to 1800.,1
England --  Seal --  Early works to 1800.,1
"Hotham, John, --  Sir, d. 1645 Jan. 2 --  Early works to 1800.",1
"Ferne, H. --  (Henry), 1602-1662 --  Early works to 1800.",1
"Socinus, Faustus, 1539-1604.",1
Child welfare --  England --  London --  Early works to 1800.,1
"Jenkins, David, 1582-1663 --  Imprisonment --  Early works to 1800.",1
Quakers.,1
Great Britain --  Politics and government --  1649-1660 --  Sources.,1
London (England) --  Orphans.,1
Judges --  England --  17th century --  Early works to 1800.,1
Courts --  England --  Officials and employees --  Early works to 1800.,1
Bible. --  O.T. --  Psalms LXXIII --  Commentaries --  Early works to 1800.,1
"Bible. --  O.T. --  Micah VI, 8 --  Criticism, interpretation, etc. --  Early works to 1800.",1
Church and state --  Great Britain --  17th century --  Early works to 1800.,1
"Bible. --  O.T. --  Psalms XLII, 1-2 --  Sermons.",1
Bible. --  O.T. --  Ecclesiastes --  Paraphrases --  Early works to 1800.,1
England and Wales. --  Parliament --  Jurisdiction.,1
Church of England --  Pastoral letters and charges --  Early works to 1800.,1
"Visitations, Ecclesiastical --  England --  Early works to 1800.",1
Spanish literature --  17th century.,1
"An apologeticall narration, humbly submitted to the honourable Houses of Parliament.",1
"Steuart, Adam. --  Some observations and annotations upon the Apologeticall narration, humbly submitted to the Honourable Houses of Parliament.",1
New England --  Church history --  Early works to 1800.,1
"Rabelais, François, ca. 1490-1553? --  Translations into English --  Early works to 1800.",1
"Partridge, John, 1644-1715 --  Early works to 1800.",1
Great Britain --  Politcs and government --  1642-1649 --  Early works to 1800.,1
"Dryden, John, 1631-1700 --  Early works to 1800.",1
Libertinism --  Early works to 1800.,1
"Ramus, Petrus, 1515-1572 --  Early works to 1800.",1
"Talon, Omer, ca. 1510-1562 --  Early works to 1800.",1
"Geree, Stephen, 1594-1656? --  Doctrine of the antinomians.",1
Religious tolerance --  Christianity --  Early works to 1800.,1
"Bible. --  O.T. --  Psalms LI, 17 --  Sermons.",1
"Browne, Thomas, --  Sir, 1605-1682. --  Pseudodoxia epidemica --  Early works to 1800.",1
"Mather, W. --  (William), fl. 1695. --  Of the Quakers despising the Holy Scriptures.",1
Carthaginians --  History --  Early works to 1800.,1
Carthage (Extinct city) --  History --  Early works to 1800.,1
"Harrington, James, 1611-1677 --  Early works to 1800.",1
Imprisonment --  Great Britain --  Early works to 1800.,1
"Harrington, James, 1611-1677. --  Parallel of the spirit of the people.",1
"Bible. --  N.T. --  Luke XIII, 6-10 --  Commentaries --  Early works to 1800.",1
"Brand, Paul, d. 1687 --  Early works to 1800.",1
"Günther, Ernest --  Early works to 1800.",1
Sheldonian Theatre --  Early works to 1800.,1
"Donne, Henry, 1606 or 7-1660?. --  Doctrine and conversation of John Baptist.",1
"Gauden, John, 1605-1662. --  Analysis.",1
"Crofton, Zachary, 1606-1660 --  Early works to 1800.",1
Covenants (Church polity) --  England --  Early works to 1800.,1
"Heydon, Christopher, --  Sir, d. 1623. --  Defence of judiciall astrologie --  Early works to 1800.",1
"Ramesey, William, 1578-1675 or 6. --  Lux veritatis --  Early works to 1800.",1
"Homes, Nathanael, 1599-1678. --  Dæmonologie and theologie.",1
Royal College of Physicians of London --  Early works to 1800.,1
Hospitals --  England --  Early works to 1800.,1
Royalists --  England --  London --  Early works to 1800.,1
"Spiritual life --  Christianity --  Modern period, 1500-.",1
"Baptist, John, fl. 1649.",1
University of Cambridge --  History --  17th century --  Early works to 1800.,1
Great Britain --  Hixtory --  Chronology --  Early works to 1800.,1
Perfection --  Religious aspects --  Early works to 1800.,1
Christmas --  Early works to 1800.,1
"Collins, John, --  glover.",1
"Wiberton, Tho.",1
"Shakespear, I.",1
Great Britain --  Prophecies --  Early works to 1800.,1
England and Wales. --  Parliament. --  House of Commons --  Powers and duties --  Early works to 1800.,1
"Birkenhead, John, --  Sir, 1616-1679.",1
Mercurius Aulicus --  Early works to 1800.,1
Of receiving the Communion.,1
"Descartes, René, 1596-1650. --  Discours de la m'ethode --  Early works to 1800.",1
Protestants --  Great Britain --  Controversial literature --  Early works to 1800.,1
"Brooke, Robert Greville, --  Baron, 1607-1643.",1
Scotland. --  Army --  History --  Early works to 1800.,1
Great Britain --  Foreign relations --  Scotland --  Early works to 1800.,1
"Penington, Isaac, --  Sir, 1587?-1660 --  Early works to 1800.",1
"Southesk, Charles Carnegie, --  Earl of, 1661-1699 --  Early works to 1800.",1
"Bible. --  O.T. --  Job XXX, 23 --  Sermons --  Early works to 1800.",1
"Great Britain --  History --  Tudors, 1485-1603 --  Sources --  Early works to 1800.",1
"Great Britain --  History --  Stuarts, 1603-1714 --  Sources --  Early works to 1800.",1
Europe --  History --  1517-1648 --  Sources --  Early works to 1800.,1
Bakers and bakeries --  England --  Early works to 1800.,1
Apostasy --  Protestantism --  Early works to 1800.,1
"Bible. --  O.T. --  Genesis II, 18 --  Sermons.",1
Wedding sermons --  17th century.,1
"Hind, James, d. 1652 --  Early works to 1800.",1
"Holmes, John, --  Sir, 1640?-1683.",1
Solemn League and Covenant (1643) --  Early works to 1800.,1
"Bible. --  O.T. --  Jeremiah IV, 3 --  Sermons --  Early works to 1800.",1
"Balfour, William, --  Sir, d. 1660.",1
"Hopton, Ralph Hopton, --  Baron, 1598-1652.",1
"Waller, William, --  Sir, 1597?-1668 --  Sermons --  Early works to 1800.",1
"Bible. --  O.T. --  Psalms III, 8 --  Sermons --  Early works to 1800.",1
Jesus Christ --  Date of birth --  Early works to 1800.,1
"Hobry, Marie, d. 1688.",1
"Hobry, Denis, d. 1688.",1
"Holles, Denzil Holles, --  Baron, 1599-1680 --  Early works to 1800.",1
"Strode, William, 1598 or 9-1645 --  Early works to 1800.",1
"Browne, Richard, --  Sir, 1602?-1669.",1
"Hull, Judith, 1626-1695 --  Early works to 1800.",1
"Wing, Vincent, 1619-1668. --  Urania practica --  Early works to 1800.",1
"Leybourn, William, 1626-1716 --  Early works to 1800.",1
Midwifery --  England --  History.,1
Midwives --  England --  History.,1
Obstetrics --  England --  History.,1
Jansenists.,1
Molinism.,1
"Russel, William, d. 1702. --  True narrative of the Portsmouth disputation.",1
Vegetables --  Early works to 1800.,1
"Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Sermons --  Early works to 1800.",1
"Milton, John, 1608-1674. --  Readie and easie way to establish a free commonwealth --  Early works to 1800.",1
"Mazarin, Armand Charles de La Porte, --  duc de, 1632-1713 --  Early works to 1800.",1
"Mazarin, Hortense Mancini, --  duchesse de, 1646-1699 --  Early works to 1800.",1
England and Wales. --  Parliament --  1649-1660.,1
"Byfield, Adoniram, d. 1660. --  Reasons presented by the Dissenting Brethren against certain propositions concerning presbyteriall government.",1
Westminster Assembly (1643-1652). --  Dissenting Brethren --  Early works to 1800.,1
Orders of knighthood and chivalry --  Great Britain --  Early works to 1800.,1
Round heads --  Early works to 1800.,1
"Overton, Richard, fl. 1646. --  Alarum to the House of Lords --  Early works to 1800.",1
"Lilburne, John, 1614?-1657. --  Early works to 1800.",1
"Lilburne, John, 1614?-1657. --  Just man in bonds --  Early works to 1800.",1
"Overton, Richard, fl. 1646. --  Pearle in a dunghill --  Early works to 1800.",1
