TCP_name_heading,original_ids
"Clement Barksdale, 1609-1687","Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687.; Barksdale, Clement, 1609-1687."
"Arthur Bury, 1624-1713","Bury, Arthur, 1624-1713."
"Sir Wyvill, Christopher, 1614-1672?","Wyvill, Christopher, Sir, 1614-1672?"
"Edward Stillingfleet, 1635-1699","Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699.; Stillingfleet, Edward, 1635-1699."
"Robert Fills, active 1562","Fills, Robert, fl. 1562."
"Walter Charleton, 1619-1707","Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707. Mysteries and miracles of love.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707.; Charleton, Walter, 1619-1707."
"Thomas Pierce, 1622-1691","Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691.; Pierce, Thomas, 1622-1691."
"Francis Roberts, 1609-1675","Roberts, Francis, 1609-1675.; Roberts, Francis, 1609-1675.; Roberts, Francis, 1609-1675.; Roberts, Francis, 1609-1675."
"Samuel Richardson, active 1643-1658","Richardson, Samuel, fl. 1643-1658.; Richardson, Samuel, fl. 1643-1658.; Richardson, Samuel, fl. 1643-1658."
"John Scott, 1639-1695","Scott, John, 1639-1695.; Scott, John, 1639-1695.; Scott, John, 1639-1695."
