id,title,authors,publisher,pubplace,date,subject_heading
A03058,The temple Sacred poems and private ejaculations. By Mr. George Herbert.,"Herbert, George, 1593-1633.; Ferrar, Nicholas, 1592-1637.",Printed by Thom Buck and Roger Daniel printers to the Universitie,Cambridge,1633,
A07542,Poems occasioned by a melancholy vision or A melancholy vision vpon diuers theames enlarged which by seuerall arguments ensuinge is showed ByH. Mill.,"Mill, Humphrey, fl. 1646.; Droeshout, John, d. 1652, engraver.",Printed by I D awson for Laurance Blaikelocke and are to be sould at his shopp at the sugerloofe next Temple barr in Fleetstreet,London,1639,
A02475,"Visiones rerum. = The visions of things. Or Foure poems 1. Principium & mutabilitas rerum. Or, the beginning and mutabilitie of all things. 2. Cursus & ordo rerum. Or, art and nature. 3. Opineo & ratione rerum. Or, wealth and pouertie. 4. Malum & finis rerum. Or, sinne and vertue, concluding with the last Iudgement and end of all things. Wherein the author expresseth his inuention by way of dreame. By Iohn Hagthorpe Gent.","Hagthorpe, John.",Printed by Bernard Alsop and are to be sold at his house in Distaffe Lane at the signe of the Dolphin,London,1623,
A08316,"Vicissitudo rerum An elegiacall poeme, of the interchangeable courses and varietie of things in this world. The first part.","Norden, John, 1548-1625?",By Simon Stafford dwelling on Adling hill neere Carter lane,Imprinted at London,1600,
A07976,"The springs glorie Vindicating love by temperance against the tenent, sine cerere & Baccho friget Venus. Moralized in a maske. With other poems, epigrams, elegies, and epithalamiums of the authors Thomas Nabbes.","Nabbes, Thomas, 1605?-1645?",Printed by I ohn D awson for Charles Greene and are to be sold by Nicholas Fussell at the signe of the white Lyon in Pauls Church yard,London,1638,
A10252,"Diuine poems containing the history of [brace] Ionah, Ester, Iob, Sampson : Sions [brace] sonets, elegies / written and newly augmented by Fra. Quarles.","Quarles, Francis, 1592-1644.",Printed by M F for I Marriot and are to be sold at his shop in St Dunstans Church yard in Fleet streete,London,1633,
A10411,"Poems with the Muses looking-glasse: and Amyntas· By Thomas Randolph Master of Arts, and late fellow of Trinity Colledge in Cambridge.","Randolph, Thomas, 1605-1635.; Randolph, Robert, 1612 or 13-1671.",Printed by Leonard Lichfield printer to the Vniversity for Francis Bowman,Oxford,1638,
A11474,A paraphrase upon the divine poems. By George Sandys,"Sandys, George, 1578-1644. aut; Sandys, George, 1578-1644.; Lawes, Henry, 1596-1662.",Printed by John Legatt sold at the Bell in St Pauls Church yard i e the shop of Andrew Hebb,London,1638,
A11237,Certaine worthye manuscript poems of great antiquitie reserued long in the studie of a Northfolke gentleman. And now first published by I.S. 1 The statly tragedy of Guistard and Sismond. 2 The northren mothers blessing. 3 The way to thrifte,"Hall, Joseph, 1574-1656.; Boccaccio, Giovanni, 1313-1375. Decamerone. First tale of the fourth day.; Stow, John, 1525?-1605.",By Robert Robinson for R obert D exter,Imprinted at London,1597,
A10260,A feast for vvormes Set forth in a poeme of the history of Ionah. By Fra. Quarles.,"Quarles, Francis, 1592-1644.",Imprinted by Felix Kyngston for Richard Moore and are to be sold at his shop in Saint Dunstans Church yard in Fleetstreet,At London,1620,
A16741,"A diuine poeme diuided into two partes: the rauisht soule, and the blessed vveeper. Compiled by Nicholas Breton, Gentle-man.","Breton, Nicholas, 1545?-1626?",By R Bradock for Iohn Browne and Iohn Deane,Imprinted at London,1601,
A19812,Certaine small poems lately printed with the tragedie of Philotas. Written by Samuel Daniel.,"Daniel, Samuel, 1562-1619.",Printed by G Eld for Simon Waterson and Edward Blount,At London,1605,
A13279,The vvood-mans bear A poeme. By Io. Syluester.,"Sylvester, Josuah, 1563-1618.",Printed by Bernard Alsop for Thomas Iones and Laurance Chapman,London,1620,
A19945,"A poetical rapsodie containing: diuerse sonnets, odes, elegies, madrigals, epigrams, pastorals, eglogues, with other poems, both in rime and measured verse. For varietie and pleasure, the like neuer yet published.","Davison, Francis, 1575?-1619?",Printed by William Stansby for Roger Iackson dwelling in Fleetstreet neere the great Conduit,London,1611,
A16683,"Times curtaine dravvne, or the anatomie of vanitie VVith other choice poems, entituled; health from Helicon. By Richard Bathvvayte Oxonian.","Brathwaite, Richard, 1588?-1673.",Printed by Iohn Dawson for Iohn Bellamie and are to be sould at the south entrance of the Royall Exchange,London,1621,
